MJD,Flux Density [Jy],Uncertainty [Jy]
59819.5529,0.00035810879601746114,2.7053276348520104e-05
59819.5494,13.289261872714658,1.047487670532453
59784.745,1.3828401961463428,0.07742347042193254
59784.7412,0.029450928025627116,0.001998858367633364
59784.7377,0.3648044020041495,0.021545569173050505
59695.8082,0.5712,0.02969999999999995
59678.9829,0.027301754432779282,0.0011973211866290953
59678.979,0.044305913881376266,0.002364857521553007
59678.975,0.0005670605481049594,2.9908549360295033e-05
59623.0387,0.4759,0.013299999999999979
59623.0341,0.45165,0.030799999999999994
59623.0305,0.407,0.04859999999999998
59603.9196,0.3504,0.025499999999999967
59603.9168,0.40830000000000005,0.021800000000000097
59603.9161,0.5053,0.030200000000000116
59603.9134,0.5873999999999999,0.10320000000000007
59603.9132,0.4064,0.022299999999999986
59603.9127,0.43610000000000004,0.027200000000000002
59586.0563,0.5286,0.06740000000000002
59586.0528,0.5498,0.06390000000000001
59586.0494,0.4798,0.05620000000000008
59557.2164,9.917583438199323,0.5007914003384677
59557.2126,0.46560000000000007,0.016199999999999992
59557.2083,0.3866,0.016699999999999993
59524.1839,0.43730000000000013,0.009000000000000119
59524.1803,0.46710000000000007,0.027000000000000135
59511.4974,0.4315,0.014200000000000101
59511.4937,4.113966968429332e-05,1.8112513037883598e-06
59511.4902,0.5024999999999998,0.016800000000000148
59476.6132,0.48070000000000007,0.02080000000000004
59476.6098,0.5004000000000001,0.022300000000000042
59460.5486,2215.3238727599246,248.52165567105294
59460.5451,2.4398148833750733e-05,2.5761492655598296e-06
59460.5415,0.3383,0.032500000000000084
59401.9274,36.69749500885869,3.678760665016952
59401.9239,0.4068,0.03080000000000005
59391.666,0.2941,0.017400000000000027
59391.6624,0.3731,0.019600000000000117
59331.8606,0.06158622526076131,0.003640785692018672
59331.8569,0.00602691795755891,0.00030255719520108117
59297.1374,7.980632749274198e-05,3.87873478022258e-06
59297.1338,0.009852395813834895,0.00030173164905117
59297.1305,0.00042205460936257016,1.595525199407519e-05
59279.9422,0.29190000000000005,0.015000000000000069
59279.9353,0.48980000000000007,0.03420000000000001
59266.031,0.37040000000000006,0.021299999999999986
59266.027,3.802065487050643e-07,2.773279861523416e-08
59249.9062,45.125795881293975,5.783827914269942
59249.9028,0.999538632594687,0.16325081432031108
59249.8989,282.09024121737184,47.72177794437215
59217.1055,668.7528191239718,36.75251693051564
59202.1935,0.4102,0.033000000000000085
59202.1891,0.03383073460906645,0.00236177095830533
59181.1938,0.5603,0.016599999999999948
59181.1903,0.4228,0.02119999999999994
59181.1865,0.4503000000000001,0.018200000000000105
59113.6824,138.136743731836,13.098790159702503
59113.679,0.03259509450367955,0.0056837098928489566
