Epoch Date,Frequency [GHz],Flux Density [Jy],Error [Jy],MJD,Elevation
2022-10-19,19.25,0.4917,0.0148,59872.3704,77.4
2022-10-19,21.15,0.4483,0.0106,59872.3704,77.4
2022-10-19,22.85,0.4689,0.0161,59872.3704,77.4
2022-10-19,24.75,0.4549,0.0233,59872.3704,77.4
2022-08-28,36.25,0.4037,0.0281,59819.5529,73.0
2022-08-28,38.75,0.3559,0.029,59819.5529,73.0
2022-08-28,36.25,0.433,0.0297,59819.5494,73.6
2022-08-28,38.75,0.4604,0.041,59819.5494,73.6
2022-08-28,19.25,0.4156,0.0073,59819.5445,74.4
2022-08-28,21.15,0.408,0.0064,59819.5445,74.4
2022-08-28,22.85,0.4263,0.0167,59819.5445,74.4
2022-08-28,24.75,0.4047,0.0145,59819.5445,74.4
2022-08-28,19.25,0.4205,0.0075,59819.5407,75.0
2022-08-28,21.15,0.4239,0.007,59819.5407,75.0
2022-08-28,24.75,0.43,0.0162,59819.5407,75.0
2022-07-24,41.25,0.472,0.021,59784.745,52.2
2022-07-24,43.75,0.4801,0.0324,59784.745,52.2
2022-07-24,36.25,0.3402,0.0187,59784.7412,53.1
2022-07-24,38.75,0.3256,0.0263,59784.7412,53.1
2022-07-24,36.25,0.5244,0.0245,59784.7377,53.9
2022-07-24,38.75,0.521,0.0372,59784.7377,53.9
2022-07-24,19.25,0.4593,0.0098,59784.7334,54.9
2022-07-24,21.15,0.4683,0.0138,59784.7334,54.9
2022-07-24,22.85,0.4726,0.0161,59784.7334,54.9
2022-07-24,24.75,0.4988,0.0289,59784.7334,54.9
2022-07-24,19.25,0.439,0.0105,59784.7298,55.7
2022-07-24,21.15,0.461,0.0141,59784.7298,55.7
2022-07-24,24.75,0.4374,0.0263,59784.7298,55.7
2022-07-09,19.25,0.4338,0.0158,59769.6778,74.9
2022-06-16,19.25,0.4344,0.0136,59746.4943,36.1
2022-06-16,21.15,0.4542,0.0212,59746.4943,36.1
2022-06-16,22.85,0.475,0.0246,59746.4943,36.1
2022-06-16,24.75,0.3849,0.0247,59746.4943,36.1
2022-06-16,21.15,0.4453,0.0207,59746.4905,35.3
2022-06-16,24.75,0.4417,0.0286,59746.4905,35.3
2022-05-19,19.25,0.4704,0.0045,59718.0647,22.7
2022-05-19,21.15,0.4926,0.0035,59718.0647,22.7
2022-05-19,22.85,0.4654,0.0106,59718.0647,22.7
2022-05-19,24.75,0.4533,0.0036,59718.0647,22.7
2022-05-19,19.25,0.4058,0.007,59718.0621,23.2
2022-05-19,21.15,0.4625,0.0047,59718.0621,23.2
2022-05-19,22.85,0.4568,0.012,59718.0621,23.2
2022-05-19,24.75,0.4339,0.004,59718.0621,23.2
2022-04-26,36.25,0.5712,0.0297,59695.8082,74.2
2022-04-26,19.25,0.4935,0.0159,59695.8037,73.4
2022-04-26,21.15,0.5352,0.0189,59695.8037,73.4
2022-04-26,22.85,0.529,0.0262,59695.8037,73.4
2022-04-26,21.15,0.4435,0.0447,59695.8037,73.4
2022-04-09,41.25,0.485,0.0192,59678.9829,63.9
2022-04-09,43.75,0.4634,0.0223,59678.9829,63.9
2022-04-09,36.25,0.4309,0.0146,59678.979,64.8
2022-04-09,38.75,0.4325,0.0203,59678.979,64.8
2022-04-09,36.25,0.4303,0.0207,59678.979,64.8
2022-04-09,38.75,0.4136,0.0351,59678.979,64.8
2022-04-09,36.25,0.4731,0.0169,59678.975,65.6
2022-04-09,38.75,0.4738,0.0205,59678.975,65.6
2022-04-09,36.25,0.4473,0.0216,59678.975,65.6
2022-04-09,38.75,0.4192,0.0355,59678.975,65.6
2022-04-09,19.25,0.481,0.0053,59678.9707,66.6
2022-04-09,21.15,0.4821,0.0029,59678.9707,66.6
2022-04-09,22.85,0.4694,0.0044,59678.9707,66.6
2022-04-09,24.75,0.4606,0.0105,59678.9707,66.6
2022-04-09,19.25,0.4852,0.0103,59678.9707,66.6
2022-04-09,21.15,0.4792,0.0311,59678.9707,66.6
2022-04-09,19.25,0.4735,0.0054,59678.9673,67.3
2022-04-09,21.15,0.4852,0.003,59678.9673,67.3
2022-04-09,22.85,0.4751,0.0045,59678.9673,67.3
2022-04-09,24.75,0.4693,0.0107,59678.9673,67.3
2022-04-09,19.25,0.4824,0.0102,59678.9673,67.3
2022-04-09,21.15,0.4835,0.0314,59678.9673,67.3
2022-02-12,41.25,0.4759,0.0133,59623.0387,77.4
2022-02-12,36.25,0.4476,0.0072,59623.0341,77.2
2022-02-12,36.25,0.4557,0.0544,59623.0341,77.2
2022-02-12,36.25,0.407,0.0486,59623.0305,77.0
2022-02-12,21.15,0.436,0.0159,59623.0264,76.6
2022-02-12,21.15,0.441,0.0048,59623.0262,76.6
2022-02-12,24.75,0.4391,0.0097,59623.0262,76.6
2022-01-24,41.25,0.3504,0.0255,59603.9196,43.9
2022-01-24,36.25,0.4083,0.0218,59603.9168,43.3
2022-01-24,36.25,0.5053,0.0302,59603.9161,43.1
2022-01-24,38.75,0.5874,0.1032,59603.9134,42.5
2022-01-24,36.25,0.4064,0.0223,59603.9132,42.5
2022-01-24,36.25,0.4361,0.0272,59603.9127,42.3
2022-01-24,19.25,0.4495,0.0046,59603.9096,41.7
2022-01-24,21.15,0.4156,0.0075,59603.9096,41.7
2022-01-24,22.85,0.4152,0.0067,59603.9096,41.7
2022-01-24,24.75,0.4163,0.0118,59603.9096,41.7
2022-01-24,19.25,0.4496,0.0053,59603.9096,41.7
2022-01-24,21.15,0.3989,0.0181,59603.9096,41.7
2022-01-06,41.25,0.5286,0.0674,59586.0563,63.8
2022-01-06,36.25,0.5498,0.0639,59586.0528,63.0
2022-01-06,36.25,0.4798,0.0562,59586.0494,62.3
2022-01-06,24.75,0.5054,0.0077,59586.0461,61.5
2022-01-06,19.25,0.4722,0.0031,59586.0461,61.5
2022-01-06,21.15,0.4504,0.002,59586.0461,61.5
2022-01-06,22.85,0.4526,0.0057,59586.0461,61.5
2021-12-21,19.25,0.3101,0.0084,59569.3986,37.8
2021-12-21,21.15,0.3731,0.0049,59569.3986,37.8
2021-12-21,22.85,0.3631,0.0057,59569.3986,37.8
2021-12-21,19.25,0.3281,0.0082,59569.3986,37.8
2021-12-21,21.15,0.3715,0.013,59569.3986,37.8
2021-12-08,41.25,0.3547,0.0122,59557.2164,77.3
2021-12-08,43.75,0.3739,0.0249,59557.2164,77.3
2021-12-08,36.25,0.4656,0.0162,59557.2126,77.1
2021-12-08,36.25,0.3866,0.0167,59557.2083,76.8
2021-12-08,19.25,0.4216,0.008,59557.205,76.4
2021-12-08,21.15,0.4093,0.0039,59557.205,76.4
2021-12-08,22.85,0.4017,0.0039,59557.205,76.4
2021-12-08,24.75,0.3852,0.0081,59557.205,76.4
2021-12-08,19.25,0.4008,0.0079,59557.2013,76.0
2021-12-08,21.15,0.4076,0.0038,59557.2013,76.0
2021-12-08,22.85,0.4038,0.0038,59557.2013,76.0
2021-12-08,24.75,0.3901,0.0082,59557.2013,76.0
2021-11-28,21.15,0.4437,0.0044,59547.2926,74.0
2021-11-28,24.75,0.4243,0.0054,59547.2924,74.0
2021-11-05,41.25,0.4373,0.009,59524.1839,54.4
2021-11-05,36.25,0.4671,0.027,59524.1803,53.6
2021-11-05,19.25,0.4583,0.0055,59524.1737,52.0
2021-11-05,21.15,0.4443,0.0049,59524.1737,52.0
2021-11-05,22.85,0.444,0.0088,59524.1737,52.0
2021-11-05,24.75,0.4545,0.0063,59524.1737,52.0
2021-11-05,19.25,0.4704,0.0064,59524.1701,51.2
2021-11-05,21.15,0.4613,0.0053,59524.1701,51.2
2021-11-05,22.85,0.4701,0.0096,59524.1699,51.2
2021-10-24,41.25,0.4315,0.0142,59511.4974,51.2
2021-10-24,38.75,0.4301,0.0236,59511.4937,52.1
2021-10-24,36.25,0.5093,0.0169,59511.4937,52.1
2021-10-24,36.25,0.5025,0.0168,59511.4902,52.9
2021-10-24,19.25,0.5139,0.0083,59511.4869,53.6
2021-10-24,21.15,0.5023,0.0064,59511.4869,53.6
2021-10-24,21.15,0.5061,0.0069,59511.4862,53.8
2021-10-24,22.85,0.4942,0.0043,59511.4862,53.8
2021-10-24,24.75,0.4855,0.0133,59511.4862,53.8
2021-10-24,19.25,0.5828,0.0091,59511.4862,53.8
2021-10-24,19.25,0.4946,0.008,59511.4834,54.5
2021-10-24,21.15,0.4842,0.0062,59511.4834,54.5
2021-10-24,21.15,0.4907,0.0067,59511.4826,54.6
2021-10-24,22.85,0.4874,0.0042,59511.4826,54.6
2021-10-24,24.75,0.4822,0.0132,59511.4826,54.6
2021-10-24,19.25,0.483,0.0078,59511.4826,54.6
2021-09-19,36.25,0.4807,0.0208,59476.6132,46.6
2021-09-19,36.25,0.5004,0.0223,59476.6098,47.4
2021-09-19,24.75,0.4403,0.008,59476.6054,48.4
2021-09-19,22.85,0.4089,0.0132,59476.6054,48.4
2021-09-19,21.15,0.4372,0.0091,59476.6054,48.4
2021-09-19,19.25,0.432,0.0086,59476.6054,48.4
2021-09-19,24.75,0.4604,0.0085,59476.602,49.2
2021-09-19,22.85,0.5827,0.0149,59476.602,49.2
2021-09-19,21.15,0.459,0.0096,59476.602,49.2
2021-09-19,19.25,0.463,0.0092,59476.602,49.2
2021-09-03,41.25,0.3717,0.042,59460.5486,70.7
2021-09-03,43.75,0.4265,0.0475,59460.5486,70.7
2021-09-03,38.75,0.4168,0.0491,59460.5451,71.4
2021-09-03,36.25,0.498,0.0465,59460.5451,71.4
2021-09-03,36.25,0.3383,0.0325,59460.5415,72.0
2021-09-03,21.15,0.4069,0.0138,59460.5363,73.0
2021-09-03,19.25,0.4122,0.014,59460.5363,73.0
2021-09-03,24.75,0.4055,0.0105,59460.5363,73.0
2021-09-03,22.85,0.4096,0.0118,59460.5329,73.5
2021-09-03,21.15,0.4257,0.0144,59460.5329,73.5
2021-09-03,19.25,0.4064,0.0136,59460.5329,73.5
2021-09-03,24.75,0.4122,0.0108,59460.5329,73.5
2021-08-20,22.85,0.4345,0.0111,59446.7022,45.0
2021-08-20,21.15,0.4423,0.0089,59446.7022,45.0
2021-08-20,19.25,0.4221,0.0081,59446.7022,45.0
2021-08-20,24.75,0.4166,0.0112,59446.7022,45.0
2021-08-20,22.85,0.4613,0.0113,59446.6987,45.8
2021-08-20,21.15,0.4465,0.0087,59446.6987,45.8
2021-08-20,19.25,0.4161,0.0078,59446.6987,45.8
2021-08-20,24.75,0.4395,0.0117,59446.6987,45.8
2021-07-28,19.25,0.4279,0.0158,59423.7719,43.4
2021-07-28,24.75,0.3648,0.0147,59423.7719,43.4
2021-07-28,21.15,0.3824,0.011,59423.7719,43.4
2021-07-28,22.85,0.3811,0.0115,59423.7719,43.4
2021-07-28,19.25,0.414,0.0154,59423.7684,44.2
2021-07-28,24.75,0.3866,0.0155,59423.7684,44.2
2021-07-28,21.15,0.3921,0.0114,59423.7684,44.2
2021-07-28,22.85,0.4266,0.0126,59423.7684,44.2
2021-07-06,41.25,0.4489,0.0429,59401.9274,23.2
2021-07-06,43.75,0.4813,0.0505,59401.9274,23.2
2021-07-06,38.75,0.4068,0.0308,59401.9239,23.9
2021-07-06,21.15,0.4125,0.0081,59401.9167,25.3
2021-07-06,24.75,0.4046,0.0135,59401.9167,25.3
2021-07-06,21.15,0.4271,0.0082,59401.9132,26.0
2021-07-06,24.75,0.4307,0.0143,59401.9132,26.0
2021-06-26,36.25,0.2941,0.0174,59391.666,77.1
2021-06-26,36.25,0.3731,0.0196,59391.6624,76.8
2021-06-26,19.25,0.4061,0.0076,59391.6583,76.5
2021-06-26,24.75,0.3878,0.0048,59391.6583,76.5
2021-06-26,22.85,0.4335,0.0134,59391.6583,76.5
2021-06-26,21.15,0.4035,0.0085,59391.6583,76.5
2021-06-26,19.25,0.3997,0.0074,59391.654,76.0
2021-06-26,24.75,0.3946,0.0049,59391.654,76.0
2021-06-26,21.15,0.4246,0.0089,59391.654,76.0
2021-06-24,21.15,0.5881,0.015,59389.8182,54.1
2021-06-24,19.25,0.5242,0.0094,59389.8182,54.1
