Epoch Date,Frequency [GHz],Flux Density [Jy],Error [Jy],MJD,Elevation
2022-09-30,41.25,0.7406,0.0449,59852.5889,69.6
2022-09-30,43.75,0.7983,0.068,59852.5889,69.6
2022-09-30,36.25,0.6365,0.0165,59852.5851,70.0
2022-09-30,38.75,0.7598,0.1046,59852.5851,70.0
2022-09-30,36.25,0.6508,0.0229,59852.5816,70.4
2022-09-30,19.25,0.4683,0.0094,59852.5771,70.8
2022-09-30,21.15,0.5033,0.0079,59852.5771,70.8
2022-09-30,22.85,0.5141,0.0093,59852.5771,70.8
2022-09-30,24.75,0.5395,0.01,59852.5771,70.8
2022-09-30,19.25,0.4854,0.0097,59852.5733,71.1
2022-09-30,21.15,0.5282,0.0082,59852.5733,71.1
2022-09-30,22.85,0.5291,0.0095,59852.5733,71.1
2022-09-30,24.75,0.5689,0.0105,59852.5733,71.1
2022-08-28,41.25,0.4121,0.0376,59819.8376,36.9
2022-08-28,43.75,0.4952,0.0391,59819.8376,36.9
2022-08-28,36.25,0.4611,0.0315,59819.8339,37.7
2022-08-28,38.75,0.5264,0.0332,59819.8339,37.7
2022-08-28,36.25,0.4659,0.0324,59819.8303,38.5
2022-08-28,38.75,0.5215,0.0359,59819.8303,38.5
2022-08-28,19.25,0.3902,0.0069,59819.826,39.5
2022-08-28,21.15,0.4085,0.0065,59819.826,39.5
2022-08-28,22.85,0.3826,0.0155,59819.826,39.5
2022-08-28,24.75,0.3781,0.0136,59819.826,39.5
2022-08-28,19.25,0.4032,0.0072,59819.8227,40.3
2022-08-28,21.15,0.4006,0.0064,59819.8227,40.3
2022-08-28,22.85,0.3855,0.0156,59819.8227,40.3
2022-08-28,24.75,0.3821,0.0139,59819.8227,40.3
2022-08-07,41.25,0.4565,0.0171,59798.8734,41.8
2022-08-07,43.75,0.5105,0.0286,59798.8734,41.8
2022-08-07,36.25,0.4796,0.0258,59798.8696,42.7
2022-08-07,38.75,0.4373,0.0313,59798.8696,42.7
2022-08-07,36.25,0.4762,0.0215,59798.8696,42.7
2022-08-07,38.75,0.4653,0.0197,59798.8696,42.7
2022-08-07,38.75,0.5133,0.0216,59798.8662,43.4
2022-08-07,19.25,0.4616,0.025,59798.862,44.4
2022-08-07,21.15,0.4543,0.0114,59798.862,44.4
2022-08-07,22.85,0.4493,0.0135,59798.862,44.4
2022-08-07,24.75,0.5078,0.0136,59798.862,44.4
2022-08-07,19.25,0.4832,0.0313,59798.862,44.4
2022-08-07,21.15,0.4599,0.0111,59798.862,44.4
2022-08-07,19.25,0.4302,0.0117,59798.8586,45.2
2022-08-07,21.15,0.4438,0.0111,59798.8586,45.2
2022-08-07,22.85,0.4431,0.0133,59798.8586,45.2
2022-08-07,24.75,0.4762,0.0101,59798.8586,45.2
2022-08-07,19.25,0.4394,0.0164,59798.8586,45.2
2022-08-07,21.15,0.4376,0.0106,59798.8586,45.2
2022-07-24,41.25,0.4873,0.0219,59784.985,25.4
2022-07-24,43.75,0.4886,0.0351,59784.985,25.4
2022-07-24,36.25,0.5663,0.0257,59784.9811,26.2
2022-07-24,38.75,0.528,0.042,59784.9811,26.2
2022-07-24,19.25,0.4973,0.0101,59784.9735,27.9
2022-07-24,21.15,0.4895,0.0137,59784.9735,27.9
2022-07-24,22.85,0.4764,0.0156,59784.9735,27.9
2022-07-24,24.75,0.5158,0.0286,59784.9735,27.9
2022-07-24,19.25,0.4886,0.0101,59784.9701,28.6
2022-07-24,21.15,0.4774,0.0134,59784.9701,28.6
2022-07-24,22.85,0.472,0.0154,59784.9701,28.6
2022-07-24,24.75,0.5484,0.0302,59784.9701,28.6
2022-06-25,38.75,0.6676,0.0536,59756.0384,31.0
2022-06-25,19.25,0.5796,0.0157,59756.031,32.7
2022-06-25,21.15,0.5838,0.0174,59756.031,32.7
2022-06-25,22.85,0.5846,0.0289,59756.031,32.7
2022-06-25,24.75,0.6013,0.0143,59756.031,32.7
2022-06-25,19.25,0.5433,0.0147,59756.0276,33.4
2022-06-25,21.15,0.5374,0.016,59756.0276,33.4
2022-06-25,22.85,0.5429,0.0272,59756.0276,33.4
2022-06-25,24.75,0.5123,0.0121,59756.0276,33.4
2022-04-30,43.75,0.497,0.0196,59699.8717,57.7
2022-04-30,36.25,0.4892,0.0222,59699.8679,56.8
2022-04-30,38.75,0.4899,0.0186,59699.8679,56.8
2022-04-30,36.25,0.4864,0.0204,59699.8636,55.9
2022-04-30,38.75,0.5273,0.0175,59699.8636,55.9
2022-04-30,19.25,0.6033,0.0061,59699.8596,55.0
2022-04-30,21.15,0.6033,0.0044,59699.8596,55.0
